Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
201221-92,CUSHION,1.2099609,VS2,J,VG,EX,GD,N,3692.0,5.9609375,5.78125,4.0195312
1755516,CUSHION,0.89990234,SI1,F,VG,EX,VG,N,3697.89,5.5585938,5.1914062,3.6191406
210534-143,CUSHION,1.2001953,VS1,FANCY,VG,VG,VG,F,3698.5,5.671875,5.5585938,4.0
211099-146,CUSHION,0.97998047,SI1,G,EX,EX,VG,N,3702.23,5.6992188,5.4414062,3.6894531
212091-415,CUSHION,1.0,SI1,G,VG,EX,GD,N,3703.38,5.859375,5.3007812,3.6992188
1790967,CUSHION,0.89990234,SI1,F,VG,EX,GD,N,3704.33,5.5507812,5.2617188,3.6601562
213045-69,CUSHION,1.0302734,SI1,I,EX,EX,EX,N,3706.2,6.359375,5.3515625,3.6191406
211157-17,CUSHION,1.5097656,SI2,W-X,EX,EX,VG,F,3706.42,6.6484375,6.0898438,4.25
210205-156,CUSHION,1.0097656,SI2,G,EX,EX,EX,N,3706.53,6.2304688,5.390625,3.6699219
200475-290,CUSHION,2.359375,SI2,FANCY,EX,EX,VG,N,3709.1,7.4296875,7.3085938,4.9609375
1781753,CUSHION,0.89990234,SI1,FANCY,VG,EX,GD,M,2516.07,5.1210938,4.9492188,3.9003906
1643520,CUSHION,0.75,SI1,F,EX,EX,VG,N,2516.77,5.1210938,5.0195312,3.4101562
200689-17,CUSHION,1.2001953,VVS1,W-X,EX,EX,EX,N,2517.03,6.1992188,5.7382812,3.859375
1656358,CUSHION,0.7998047,VVS1,I,VG,EX,EX,N,2524.34,5.421875,4.890625,3.4101562
1672857,CUSHION,0.72021484,SI1,D,EX,EX,EX,M,2525.64,5.109375,4.9882812,3.3496094
1790973,CUSHION,0.7001953,SI1,E,VG,EX,VG,N,2525.67,5.0898438,4.9414062,3.3007812
1624927,CUSHION,0.8100586,VS1,I,EX,EX,EX,N,2526.48,5.2695312,5.2617188,3.5507812
213104-212,CUSHION,1.0,VS2,Y-Z,EX,EX,EX,M,2526.88,5.4492188,5.3007812,3.7109375
1609785,CUSHION,0.75,VS2,F,EX,EX,VG,N,2533.68,5.6015625,4.828125,3.2792969
1577736,CUSHION,0.7998047,SI1,F,EX,EX,VG,N,2534.06,5.5390625,5.0390625,3.4199219
212130-2,CUSHION,1.0996094,VVS2,FANCY,EX,EX,VG,N,2536.14,6.078125,5.578125,3.8007812
1638121,CUSHION,0.7001953,SI1,E,EX,EX,EX,N,2536.55,5.109375,4.890625,3.2890625
200761-289,CUSHION,1.5,SI1,FANCY,EX,EX,VG,N,2538.44,6.3984375,6.3398438,4.2382812
1734195,CUSHION,0.89990234,VS2,J,VG,EX,EX,N,2538.95,5.859375,5.1601562,3.5996094
1584389,CUSHION,0.8198242,VS2,H,EX,EX,VG,N,2539.38,5.7890625,5.03125,3.4101562
1636067,CUSHION,0.75,SI1,G,EX,EX,VG,N,2437.61,5.3203125,5.03125,3.3808594
211176-135,CUSHION,1.2001953,SI2,L,VG,EX,VG,N,2439.22,6.3710938,5.578125,3.9003906
