Shape_CUSHION,Shape_EMERALD,Shape_HEART,Shape_MARQUISE,Shape_OVAL,Shape_PEAR,Shape_PRINCESS,Shape_ROUND,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70996094,5.0,8.0,3.0,3.0,3.0,0.0,1230.89,5.8007812,4.640625,3.1503906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,13.0,3.0,3.0,2.0,2.0,1231.96,4.4414062,4.421875,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89990234,4.0,9.0,3.0,3.0,3.0,4.0,1237.55,5.6210938,5.2695312,3.5605469
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,19.0,3.0,3.0,2.0,2.0,1241.42,4.4414062,4.4101562,2.9492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,12.0,3.0,3.0,2.0,0.0,1286.16,4.6992188,4.3710938,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5600586,3.0,19.0,3.0,1.0,1.0,2.0,1286.93,4.71875,4.4296875,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,8.0,13.0,3.0,3.0,2.0,2.0,1292.65,4.6015625,4.4882812,3.0292969
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41992188,8.0,19.0,3.0,3.0,1.0,1.0,1293.39,4.2382812,4.1601562,2.6796875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89990234,3.0,9.0,2.0,3.0,2.0,2.0,1295.14,5.9101562,5.0507812,3.5195312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60009766,8.0,19.0,3.0,3.0,2.0,1.0,1298.13,4.6601562,4.6210938,3.1308594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,14.0,3.0,3.0,3.0,4.0,1299.02,4.5703125,4.4492188,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,14.0,2.0,3.0,2.0,0.0,1301.12,4.890625,4.25,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,4.0,10.0,3.0,3.0,2.0,0.0,1303.27,5.3085938,4.828125,3.2695312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,19.0,3.0,2.0,1.0,2.0,1303.67,4.5703125,4.3515625,2.8808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85009766,5.0,9.0,3.0,3.0,3.0,4.0,1311.39,6.1210938,4.8984375,3.3398438
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,13.0,3.0,3.0,2.0,2.0,1313.99,4.9296875,4.2617188,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70996094,7.0,10.0,2.0,3.0,2.0,0.0,1315.61,5.0390625,4.8203125,3.3691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,16.0,2.0,2.0,1.0,0.0,1315.83,4.96875,4.2109375,2.8105469
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,15.0,3.0,2.0,2.0,2.0,1317.62,4.7109375,4.2890625,2.9003906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,16.0,2.0,3.0,3.0,0.0,1584.58,4.7109375,4.2382812,2.9492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,5.0,14.0,3.0,3.0,2.0,0.0,1586.1,5.0117188,4.3085938,2.8398438
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,5.0,14.0,3.0,3.0,2.0,0.0,1586.1,4.921875,4.2617188,2.890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498047,4.0,17.0,3.0,3.0,3.0,0.0,1587.37,4.8398438,4.4609375,3.0195312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,16.0,2.0,3.0,2.0,0.0,1587.87,4.53125,4.3710938,3.0390625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58984375,4.0,14.0,3.0,3.0,2.0,0.0,1588.29,5.1796875,4.4882812,3.0507812
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,3.0,19.0,3.0,3.0,1.0,0.0,1588.43,4.7890625,4.7890625,3.25
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52978516,4.0,16.0,3.0,3.0,2.0,0.0,1588.5,4.7304688,4.390625,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,3.0,3.0,2.0,0.0,1590.29,4.9414062,4.2382812,2.7890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,14.0,3.0,3.0,3.0,0.0,1590.29,4.5585938,4.3789062,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,17.0,3.0,3.0,2.0,2.0,1591.24,4.9101562,4.1914062,2.8398438
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,17.0,2.0,3.0,2.0,0.0,1591.24,4.7382812,4.390625,2.859375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,8.0,15.0,3.0,2.0,2.0,2.0,1592.88,4.9882812,4.2617188,2.8808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,17.0,3.0,3.0,2.0,2.0,1593.89,4.9296875,4.2382812,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,3.0,3.0,2.0,0.0,1594.52,4.859375,4.2109375,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42993164,4.0,9.0,3.0,3.0,2.0,1.0,683.22,4.3789062,4.3398438,2.7207031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,6.0,4.0,3.0,3.0,2.0,1.0,718.92,4.5507812,4.3789062,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,9.0,3.0,3.0,2.0,2.0,725.32,4.859375,4.2304688,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,9.0,2.0,3.0,1.0,0.0,771.13,4.5117188,4.46875,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,9.0,3.0,3.0,2.0,2.0,772.88,4.9414062,4.2695312,2.8808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39990234,5.0,11.0,2.0,3.0,2.0,1.0,795.69,4.5117188,3.8496094,2.6796875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400879,4.0,19.0,3.0,2.0,2.0,1.0,803.43,4.03125,3.8808594,2.6699219
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58984375,5.0,3.0,2.0,3.0,1.0,0.0,807.91,4.640625,4.5703125,3.1894531
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,8.0,3.0,3.0,2.0,2.0,816.68,4.921875,4.2695312,2.890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.0,10.0,2.0,3.0,2.0,4.0,822.17,4.71875,4.2304688,2.9492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,11.0,2.0,3.0,2.0,2.0,830.89,4.6992188,4.2382812,2.9296875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,6.0,10.0,2.0,3.0,1.0,0.0,839.64,4.6914062,4.3203125,2.9492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,9.0,2.0,3.0,2.0,2.0,840.29,4.9101562,4.1914062,2.890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098633,3.0,0.0,3.0,3.0,0.0,2.0,847.83,4.8203125,4.71875,3.0898438
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,4.0,10.0,3.0,3.0,2.0,0.0,869.06,5.0195312,4.2304688,2.8808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7998047,5.0,9.0,3.0,3.0,3.0,0.0,1358.39,5.421875,5.0507812,3.4199219
